Advisory Board Members,,,
S.no,Name,Designation,Representation
1,Dr. C. Muthamizhchelvan,"Director, Faculty of Engineering and Technology ",SRMIST
2,Mr. Nikunj Panchal,"Manager, SRM Innovation and Incubation Centre",SIIC
3,Dr. Naveen Vasishta,Director - DST,"NSTEDB, DST"
4,Dr. S.B. Sareen,"Project Director & Co-Member Secretary, DST NewGen IEDC","EDII, Ahmedabad"
5,Dr. Shantanu Patil,"Head, SRM Innovation and Design Center, SRMIST",SRMIST
6,Dr. Revathi Venkataraman,Professor - Dept. of Computer Science Engineering,SRMIST
7,Mr. Ananth Kumar,Asst. Professor (Management) & Executive Secretary,SRMIST
8,Ms. Elizabeth Idikula,"Asst. Director (Ops) - Great Lakes Institute of Management, Chennai",Peer Incubator
9,Mr. Erik Azulay,"Executive Director, Nexus Startup Hub, New Delhi",Peer Incubator
10,Mr. Ramanan,"Vice President & Regional Head, The Lakshmi Vilas Bank Ltd.",Banker
11,Ms. Akila Rajeswar,"Executive Director, TiE Chennai",Industry Association
12,Mr. Anirban Chowdhury,"Co-Founder & Director (Technology), Frugal Labs Tech Solutions Pvt Ltd",Alumni
13,Mr. Arokya Iniyan,"Co-founder Eminenttech,",Alumni
14,Mr. Anbu Rathinavel,"Chief Design officer, Intellect Design ",Industry
15,Mr. Kannan Doss,"Founder, Food for Life",Industry 
,,,
Purchase Committee Members - Office Space,,,
S.no,Name,Designation,Organization
1,Dr. V.M.Thirumurgan,"Associate Director, Campus Life",SRMIST
2,Mr. Raman,"Head, Purchase Department ",SRMIST
3,Mr. Gopinath,Sr. Auditor,SRMIST
4,Dr. Shantanu Patil,"Head, SRM Innovation and Design Centre",SRMIST
5,Dr. Revathi Venkataraman,Professor - Dept. of Computer Science Engineering,SRMIST
6,Mr. Ananth Kumar,Asst. Professor (Management) & Executive Secretary,SRMIST
7,Mr. Nikunj Panchal,"Manager, SRM Innovation and Incubation Centre",SRMIST
,,,
Purchase Committee Members - Tools & Machines,,,
S.no,Name,Designation,Organization
1,Dr. Kingsly Jeba Singh,"Dean, School of Mechanical Engineering",SRMIST
2,Mr.Ramesh Kumar,"Manager, Purchase Department",SRMIST
3,Mr. Gopinath,Sr. Auditor,SRMIST
4,Dr. Shantanu Patil,"Head, SRM Innovation and Design Centre",SRMIST
5,Dr. Revathi Venkataraman,Professor - Dept. of Computer Science Engineering,SRMIST
6,Mr. Ananth Kumar,Asst. Professor (Management) & Executive Secretary,SRMIST
7,Mr Nikunj Panchal,"Manager, SRM Innovation and Incubation Centre",SRMIST
,,,
Project Reviews- External,,,
S.no,Name,Designation,Organization
1,Mr. Anand Shivraj,"Manager, Bio Incubator",Anna University
2,Mr. Mayur Sethi,Founder and Thinker-in-Chief,MP09 Digital
3,Mr. Ankit Pansari,Developer Evangelist,Zoho Corp
4,Mr. Shiva Ramamurthy,Angel Investor,Ephicacy Lifesciences Analytics
5,Mr. Kumar,Founder,MindZen
6,Mr. .Kannan Doss,Founder,Food for Life
,,,
Project Reviews- Internal,,,
S.no,Name,Designation,Organization
1,Dr. Shantanu Patil,"Head, SRM Innovation and Design Centre",SRMIST
2,Dr. Revathi Venkataraman,Professor - Dept. of Computer Science Engineering,SRMIST
3,Mr. Ananth Kumar,Asst. Professor (Management) & Executive Secretary,SRMIST
4,Mr Nikunj Panchal,"Manager, SRM Innovation and Incubation Centre",SRMIST
5,Mr. Ranjithpillai R,"Asst. Professor, Department of Mechatronics Engineering ",SRMIST
6,Mr. Rajaavikhram Y,"Asst. Professor, Department of Electronics & Instrumentation Engineering",SRMIST
7,Mr. Navin K,"Asst. Professor, Department of Information Technology Engineering ",SRMIST
8,Dr. Bharatiraja C,"Associate Professor, Dept. of  Electrical and Electronics Engineering ",SRMIST
9,Mr. Parthiban Nv,"Asst. Professor, Dept. of Computer Science Engineering",SRMIST
10,Mr. Sachikanta N,"Asst. Professor, Dept. of  Civil Engineering",SRMIST
11,Mr. Kumaran D,"Asst. Professor, Department of Mechanical Engineering",SRMIST
12,Mr. Elavelvisuvanathan G,"Asst. Professor, Department of Electronics Engineering",SRMIST
13,Mrs. Sarada DVL,"Associate Professor, Department of Biotechnology",SRMIST
14,Mr. Haribaabu V,"Asst. Professor, Department of Software Engineering",SRMIST
15,Mr. Manikandaprabhu S,"Asst. Professor, Dept. of Civil Engineering",SRMIST
16,Mr. Sandeepkumar L,"Asst. Professor, Dept. of Physics",SRMIST
17,Dr. Senthilnathan R,"Associate Professor, Department of Mechatronics Engineering",SRMIST
18,Dr. Mukeshkrishnan MB,"Associate Professor, Dept. of Infromation Technology",SRMIST
19,Mrs. Deepa N,"Assistant Professor,Department of Career Development Centre",SRMIST
20,Mr. Devanathan K ,"Assistant Professor, Department of Automobile Engg",SRMIST
21,Mr. Sabastian J,"Assistant Professor, Department of English",SRMIST
22,Mrs. Supraja P,"Assistant Professor, Department of Information Technology",SRMIST
23,Mr. Vinothkumar SI,"Assistant Professor, Department of Computer Science",SRMIST
24,Mr. Sankaramoorthy K,Assistant Professor • Department of MBA,SRMIST
,,,
Guest Speakers,,,
S.no,Name,Designation,Organization
1,"Mrs. Vandhana Ramanathan,",Co-founder,Wsquard
2,Dr. Ikhlaq Sidhu,Director,"Sutardja Center of Entrepreneurship & Technology , UC Berkeley"
3,"Mr. Chandran Krishnan,",CEO,Chennai Angels
4,Mr. Balaji Sadagapan,Co-founder,Chai Kings
5,Dr. Ramesh Kandadai,Expert in Unmanned Aerial System,
6,Dr. Anbu Rathinavel,Chief Design Officer,Intellect Design
7,Mr. Arun Jain,Founder,Intellect Design
8,Dr. Shivraj Rajadurai,Director Research,Sarada Motors
9,Mr. Ramesh Somasundaram,Founder,Energica ASPL
10,Mrs. Devakshi Dhawan,Portfolio and Program Manager,Social Alpha
11,Dr Biju Jacob,Program Director,UN Health Innovation Exchange- India Accelerator( FISE )
12,Mr. Nikhil Chandwadkar,Co Founder ,Carto Sense
13,Mr. Vikram Viswanathan,Founder & CEO,Invitreo
 ,,,
Potential Investors,,,
S.no,Name,Designation,Organization
1,Mr. Chandran Krishnan,CEO ,Chennai Angels
2,Mr.  Anandakumaran Nair,Executive Director of R&D,Lucas TVS
3,Mr. Amit Agarwal,Managing Partner,Access Capital Advisors
4,Mr. Carol George,"Assitant Manager, Marketing",Advik Hi-tech Private Limited
5,Mr. Srinivasan Vijayaraghavan,Sales Manager,Altair Inc
6,Mr. Naveen Bhandari,CEO,"Amara Studio, Amara Music "
7,Mr. Gupta,CEO,OPG Power Ventures
8,Mrs. Dmitri,CFO,OPG Power Ventures
9,Mr. Vasu,CEO,Lavni Ventures
10,Pallav Kumar Singh,Managing Partner,Draconis Global 
 ,,,
